"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"HHS Region 5","2 wk ahead","Bin","percent","5.2","5.3",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","5.3","5.4",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","5.4","5.5",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","5.5","5.6",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","5.6","5.7",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","5.7","5.8",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","5.8","5.9",9.99999999999999e-05
"HHS Region 5","2 wk ahead","Bin","percent","5.9","6",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","6","6.1",9.99999999999999e-05
"HHS Region 5","2 wk ahead","Bin","percent","6.1","6.2",9.99999999999999e-05
"HHS Region 5","2 wk ahead","Bin","percent","6.2","6.3",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","6.3","6.4",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","6.4","6.5",9.99999999999999e-05
"HHS Region 5","2 wk ahead","Bin","percent","6.5","6.6",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","6.6","6.7",9.99999999999999e-05
"HHS Region 5","2 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 5","2 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 5","2 wk ahead","Bin","percent","6.9","7",0
"HHS Region 5","2 wk ahead","Bin","percent","7","7.1",9.99999999999999e-05
"HHS Region 5","2 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 5","2 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 5","2 wk ahead","Bin","percent","7.3","7.4",9.99999999999999e-05
"HHS Region 5","2 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 5","2 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 5","2 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 5","2 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 5","2 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 5","2 wk ahead","Bin","percent","7.9","8",0
"HHS Region 5","2 wk ahead","Bin","percent","8","8.1",0
"HHS Region 5","2 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 5","2 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 5","2 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 5","2 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 5","2 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 5","2 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 5","2 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 5","2 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 5","2 wk ahead","Bin","percent","8.9","9",0
"HHS Region 5","2 wk ahead","Bin","percent","9","9.1",0
"HHS Region 5","2 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 5","2 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 5","2 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 5","2 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 5","2 wk ahead","Bin","percent","9.5","9.6",9.99999999999999e-05
"HHS Region 5","2 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 5","2 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 5","2 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 5","2 wk ahead","Bin","percent","9.9","10",0
"HHS Region 5","2 wk ahead","Bin","percent","10","10.1",0
"HHS Region 5","2 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 5","2 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 5","2 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 5","2 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 5","2 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 5","2 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 5","2 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 5","2 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 5","2 wk ahead","Bin","percent","10.9","11",0
"HHS Region 5","2 wk ahead","Bin","percent","11","11.1",0
"HHS Region 5","2 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 5","2 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 5","2 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 5","2 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 5","2 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 5","2 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 5","2 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 5","2 wk ahead","Bin","percent","11.8","11.9",9.99999999999999e-05
"HHS Region 5","2 wk ahead","Bin","percent","11.9","12",0
"HHS Region 5","2 wk ahead","Bin","percent","12","12.1",0
"HHS Region 5","2 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 5","2 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 5","2 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 5","2 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 5","2 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 5","2 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 5","2 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 5","2 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 5","2 wk ahead","Bin","percent","12.9","13",0
"HHS Region 5","2 wk ahead","Bin","percent","13","100",9.99999999999999e-05
"HHS Region 5","3 wk ahead","Point","percent",NA,NA,1.68344066659184
"HHS Region 5","3 wk ahead","Bin","percent","0","0.1",0
"HHS Region 5","3 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 5","3 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 5","3 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 5","3 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 5","3 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 5","3 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 5","3 wk ahead","Bin","percent","0.7","0.8",7e-04
"HHS Region 5","3 wk ahead","Bin","percent","0.8","0.9",0.0044
"HHS Region 5","3 wk ahead","Bin","percent","0.9","1",0.012
"HHS Region 5","3 wk ahead","Bin","percent","1","1.1",0.0283
"HHS Region 5","3 wk ahead","Bin","percent","1.1","1.2",0.0459
"HHS Region 5","3 wk ahead","Bin","percent","1.2","1.3",0.0591
"HHS Region 5","3 wk ahead","Bin","percent","1.3","1.4",0.0727
"HHS Region 5","3 wk ahead","Bin","percent","1.4","1.5",0.0856
"HHS Region 5","3 wk ahead","Bin","percent","1.5","1.6",0.0798
"HHS Region 5","3 wk ahead","Bin","percent","1.6","1.7",0.0845
"HHS Region 5","3 wk ahead","Bin","percent","1.7","1.8",0.0804
"HHS Region 5","3 wk ahead","Bin","percent","1.8","1.9",0.0719
"HHS Region 5","3 wk ahead","Bin","percent","1.9","2",0.0605
"HHS Region 5","3 wk ahead","Bin","percent","2","2.1",0.0528
"HHS Region 5","3 wk ahead","Bin","percent","2.1","2.2",0.0443
"HHS Region 5","3 wk ahead","Bin","percent","2.2","2.3",0.0365
"HHS Region 5","3 wk ahead","Bin","percent","2.3","2.4",0.0303
"HHS Region 5","3 wk ahead","Bin","percent","2.4","2.5",0.0227
"HHS Region 5","3 wk ahead","Bin","percent","2.5","2.6",0.0246
"HHS Region 5","3 wk ahead","Bin","percent","2.6","2.7",0.0157
"HHS Region 5","3 wk ahead","Bin","percent","2.7","2.8",0.0146
"HHS Region 5","3 wk ahead","Bin","percent","2.8","2.9",0.0096
"HHS Region 5","3 wk ahead","Bin","percent","2.9","3",0.0109
"HHS Region 5","3 wk ahead","Bin","percent","3","3.1",0.009
"HHS Region 5","3 wk ahead","Bin","percent","3.1","3.2",0.0079
"HHS Region 5","3 wk ahead","Bin","percent","3.2","3.3",0.0044
"HHS Region 5","3 wk ahead","Bin","percent","3.3","3.4",0.0037
"HHS Region 5","3 wk ahead","Bin","percent","3.4","3.5",0.0032
"HHS Region 5","3 wk ahead","Bin","percent","3.5","3.6",0.0039
"HHS Region 5","3 wk ahead","Bin","percent","3.6","3.7",0.0027
"HHS Region 5","3 wk ahead","Bin","percent","3.7","3.8",0.0032
"HHS Region 5","3 wk ahead","Bin","percent","3.8","3.9",0.0016
"HHS Region 5","3 wk ahead","Bin","percent","3.9","4",0.0017
"HHS Region 5","3 wk ahead","Bin","percent","4","4.1",0.0013
"HHS Region 5","3 wk ahead","Bin","percent","4.1","4.2",0.0013
"HHS Region 5","3 wk ahead","Bin","percent","4.2","4.3",0.001
"HHS Region 5","3 wk ahead","Bin","percent","4.3","4.4",6e-04
"HHS Region 5","3 wk ahead","Bin","percent","4.4","4.5",6e-04
"HHS Region 5","3 wk ahead","Bin","percent","4.5","4.6",7e-04
"HHS Region 5","3 wk ahead","Bin","percent","4.6","4.7",5e-04
"HHS Region 5","3 wk ahead","Bin","percent","4.7","4.8",8e-04
"HHS Region 5","3 wk ahead","Bin","percent","4.8","4.9",7e-04
"HHS Region 5","3 wk ahead","Bin","percent","4.9","5",2e-04
"HHS Region 5","3 wk ahead","Bin","percent","5","5.1",3e-04
"HHS Region 5","3 wk ahead","Bin","percent","5.1","5.2",3e-04
"HHS Region 5","3 wk ahead","Bin","percent","5.2","5.3",5e-04
"HHS Region 5","3 wk ahead","Bin","percent","5.3","5.4",2e-04
"HHS Region 5","3 wk ahead","Bin","percent","5.4","5.5",3e-04
"HHS Region 5","3 wk ahead","Bin","percent","5.5","5.6",2e-04
"HHS Region 5","3 wk ahead","Bin","percent","5.6","5.7",9.99999999999999e-05
"HHS Region 5","3 wk ahead","Bin","percent","5.7","5.8",9.99999999999999e-05
"HHS Region 5","3 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 5","3 wk ahead","Bin","percent","5.9","6",0
"HHS Region 5","3 wk ahead","Bin","percent","6","6.1",0
"HHS Region 5","3 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 5","3 wk ahead","Bin","percent","6.2","6.3",9.99999999999999e-05
"HHS Region 5","3 wk ahead","Bin","percent","6.3","6.4",9.99999999999999e-05
"HHS Region 5","3 wk ahead","Bin","percent","6.4","6.5",2e-04
"HHS Region 5","3 wk ahead","Bin","percent","6.5","6.6",0
"HHS Region 5","3 wk ahead","Bin","percent","6.6","6.7",9.99999999999999e-05
"HHS Region 5","3 wk ahead","Bin","percent","6.7","6.8",3e-04
"HHS Region 5","3 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 5","3 wk ahead","Bin","percent","6.9","7",2e-04
"HHS Region 5","3 wk ahead","Bin","percent","7","7.1",0
"HHS Region 5","3 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 5","3 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 5","3 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 5","3 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 5","3 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 5","3 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 5","3 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 5","3 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 5","3 wk ahead","Bin","percent","7.9","8",0
"HHS Region 5","3 wk ahead","Bin","percent","8","8.1",0
"HHS Region 5","3 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 5","3 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 5","3 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 5","3 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 5","3 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 5","3 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 5","3 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 5","3 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 5","3 wk ahead","Bin","percent","8.9","9",0
"HHS Region 5","3 wk ahead","Bin","percent","9","9.1",0
"HHS Region 5","3 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 5","3 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 5","3 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 5","3 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 5","3 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 5","3 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 5","3 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 5","3 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 5","3 wk ahead","Bin","percent","9.9","10",0
"HHS Region 5","3 wk ahead","Bin","percent","10","10.1",0
"HHS Region 5","3 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 5","3 wk ahead","Bin","percent","10.2","10.3",9.99999999999999e-05
"HHS Region 5","3 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 5","3 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 5","3 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 5","3 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 5","3 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 5","3 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 5","3 wk ahead","Bin","percent","10.9","11",0
"HHS Region 5","3 wk ahead","Bin","percent","11","11.1",0
"HHS Region 5","3 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 5","3 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 5","3 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 5","3 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 5","3 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 5","3 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 5","3 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 5","3 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 5","3 wk ahead","Bin","percent","11.9","12",0
"HHS Region 5","3 wk ahead","Bin","percent","12","12.1",0
"HHS Region 5","3 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 5","3 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 5","3 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 5","3 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 5","3 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 5","3 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 5","3 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 5","3 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 5","3 wk ahead","Bin","percent","12.9","13",0
"HHS Region 5","3 wk ahead","Bin","percent","13","100",9.99999999999999e-05
"HHS Region 5","4 wk ahead","Point","percent",NA,NA,1.63260767824848
"HHS Region 5","4 wk ahead","Bin","percent","0","0.1",0
"HHS Region 5","4 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 5","4 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 5","4 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 5","4 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 5","4 wk ahead","Bin","percent","0.5","0.6",2e-04
"HHS Region 5","4 wk ahead","Bin","percent","0.6","0.7",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","0.7","0.8",0.0027
"HHS Region 5","4 wk ahead","Bin","percent","0.8","0.9",0.0102
"HHS Region 5","4 wk ahead","Bin","percent","0.9","1",0.0208
"HHS Region 5","4 wk ahead","Bin","percent","1","1.1",0.0414
"HHS Region 5","4 wk ahead","Bin","percent","1.1","1.2",0.0562
"HHS Region 5","4 wk ahead","Bin","percent","1.2","1.3",0.0654
"HHS Region 5","4 wk ahead","Bin","percent","1.3","1.4",0.0787
"HHS Region 5","4 wk ahead","Bin","percent","1.4","1.5",0.0805
"HHS Region 5","4 wk ahead","Bin","percent","1.5","1.6",0.082
"HHS Region 5","4 wk ahead","Bin","percent","1.6","1.7",0.0743
"HHS Region 5","4 wk ahead","Bin","percent","1.7","1.8",0.0687
"HHS Region 5","4 wk ahead","Bin","percent","1.8","1.9",0.0604
"HHS Region 5","4 wk ahead","Bin","percent","1.9","2",0.0531
"HHS Region 5","4 wk ahead","Bin","percent","2","2.1",0.0485
"HHS Region 5","4 wk ahead","Bin","percent","2.1","2.2",0.0355
"HHS Region 5","4 wk ahead","Bin","percent","2.2","2.3",0.0322
"HHS Region 5","4 wk ahead","Bin","percent","2.3","2.4",0.0275
"HHS Region 5","4 wk ahead","Bin","percent","2.4","2.5",0.0235
"HHS Region 5","4 wk ahead","Bin","percent","2.5","2.6",0.0189
"HHS Region 5","4 wk ahead","Bin","percent","2.6","2.7",0.016
"HHS Region 5","4 wk ahead","Bin","percent","2.7","2.8",0.0157
"HHS Region 5","4 wk ahead","Bin","percent","2.8","2.9",0.0116
"HHS Region 5","4 wk ahead","Bin","percent","2.9","3",0.0093
"HHS Region 5","4 wk ahead","Bin","percent","3","3.1",0.011
"HHS Region 5","4 wk ahead","Bin","percent","3.1","3.2",0.0064
"HHS Region 5","4 wk ahead","Bin","percent","3.2","3.3",0.0076
"HHS Region 5","4 wk ahead","Bin","percent","3.3","3.4",0.0041
"HHS Region 5","4 wk ahead","Bin","percent","3.4","3.5",0.0044
"HHS Region 5","4 wk ahead","Bin","percent","3.5","3.6",0.0044
"HHS Region 5","4 wk ahead","Bin","percent","3.6","3.7",0.0031
"HHS Region 5","4 wk ahead","Bin","percent","3.7","3.8",0.003
"HHS Region 5","4 wk ahead","Bin","percent","3.8","3.9",0.0027
"HHS Region 5","4 wk ahead","Bin","percent","3.9","4",0.0024
"HHS Region 5","4 wk ahead","Bin","percent","4","4.1",0.0018
"HHS Region 5","4 wk ahead","Bin","percent","4.1","4.2",0.0015
"HHS Region 5","4 wk ahead","Bin","percent","4.2","4.3",0.0016
"HHS Region 5","4 wk ahead","Bin","percent","4.3","4.4",0.0014
"HHS Region 5","4 wk ahead","Bin","percent","4.4","4.5",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","4.5","4.6",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","4.6","4.7",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","4.7","4.8",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","4.8","4.9",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","4.9","5",3e-04
"HHS Region 5","4 wk ahead","Bin","percent","5","5.1",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.1","5.2",0.0011
"HHS Region 5","4 wk ahead","Bin","percent","5.2","5.3",4e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.3","5.4",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.4","5.5",6e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.5","5.6",2e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.6","5.7",1e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.7","5.8",1e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.8","5.9",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.9","6",2e-04
"HHS Region 5","4 wk ahead","Bin","percent","6","6.1",4e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 5","4 wk ahead","Bin","percent","6.2","6.3",1e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.3","6.4",1e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.4","6.5",3e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.5","6.6",1e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 5","4 wk ahead","Bin","percent","6.7","6.8",3e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.8","6.9",1e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.9","7",0
"HHS Region 5","4 wk ahead","Bin","percent","7","7.1",0
"HHS Region 5","4 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 5","4 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 5","4 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 5","4 wk ahead","Bin","percent","7.4","7.5",2e-04
"HHS Region 5","4 wk ahead","Bin","percent","7.5","7.6",1e-04
"HHS Region 5","4 wk ahead","Bin","percent","7.6","7.7",1e-04
"HHS Region 5","4 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 5","4 wk ahead","Bin","percent","7.8","7.9",0
